551.0891 1.7469807E-11
549.0704 1.8012236E-11
547.0665 1.8583579E-11
545.0771 1.9175606E-11
543.1022 1.9766473E-11
541.1417 2.0364030E-11
539.1951 2.0995143E-11
537.2625 2.1660449E-11
535.3436 2.2336933E-11
533.4385 2.3027734E-11
531.5469 2.3764681E-11
529.6686 2.4562156E-11
527.8036 2.5404779E-11
525.9517 2.6300500E-11
524.1126 2.7294812E-11
522.2865 2.8403687E-11
520.4730 2.9569121E-11
518.6721 3.0722428E-11
516.8835 3.1873480E-11
515.1073 3.3103457E-11
513.3432 3.4477404E-11
511.5912 3.5993687E-11
509.8511 3.7611921E-11
508.1228 3.9292489E-11
506.4062 4.1029326E-11
504.7010 4.2885456E-11
503.0075 4.4998012E-11
501.3252 4.7502967E-11
499.6541 5.0395143E-11
497.9941 5.3442539E-11
496.3451 5.6214366E-11
494.7070 5.8225424E-11
493.0797 5.9170828E-11
491.4630 5.9183214E-11
489.8570 5.8893460E-11
488.2613 5.9127529E-11
486.6760 6.0401954E-11
485.1010 6.2654978E-11
483.5362 6.5424735E-11
481.9814 6.8210451E-11
480.4366 7.0657424E-11
478.9016 7.2578187E-11
477.3766 7.4036707E-11
475.8610 7.5457328E-11
474.3551 7.7459622E-11
472.8588 8.0411407E-11
471.3718 8.4125228E-11
469.8941 8.8043267E-11
468.4257 9.1702784E-11
466.9664 9.5006190E-11
465.5162 9.8131163E-11
464.0750 1.0131380E-10
462.6427 1.0473857E-10
461.2192 1.0853129E-10
459.8044 1.1275764E-10
458.3982 1.1743058E-10
457.0006 1.2254540E-10
455.6116 1.2811824E-10
454.2310 1.3420445E-10
452.8587 1.4089141E-10
451.4946 1.4825499E-10
450.1388 1.5624030E-10
448.7911 1.6448048E-10
447.4514 1.7216371E-10
446.1198 1.7810228E-10
444.7959 1.8110591E-10
443.4799 1.8064369E-10
442.1718 1.7746973E-10
440.8712 1.7365452E-10
439.5783 1.7171488E-10
438.2931 1.7332120E-10
437.0152 1.7857588E-10
435.7448 1.8639768E-10
434.4818 1.9552872E-10
433.2261 2.0526084E-10
431.9775 2.1553440E-10
430.7363 2.2670879E-10
429.5021 2.3927782E-10
428.2750 2.5354180E-10
427.0547 2.6925315E-10
425.8415 2.8551200E-10
424.6352 3.0099681E-10
423.4357 3.1424499E-10
422.2429 3.2372033E-10
421.0568 3.2788089E-10
419.8774 3.2559547E-10
418.7045 3.1678613E-10
417.5382 3.0278724E-10
416.3784 2.8606437E-10
415.2250 2.6947583E-10
414.0780 2.5543762E-10
412.9373 2.4532634E-10
411.8028 2.3932115E-10
410.6746 2.3675226E-10
409.5525 2.3669555E-10
408.4366 2.3835189E-10
407.3268 2.4107272E-10
406.2228 2.4424857E-10
405.1249 2.4733762E-10
404.0329 2.4997415E-10
402.9468 2.5202590E-10
401.8665 2.5360861E-10
400.7921 2.5508617E-10
399.7233 2.5694460E-10
398.6602 2.5944788E-10
397.6027 2.6239416E-10
396.5509 2.6527969E-10
395.5045 2.6771024E-10
394.4638 2.6961774E-10
393.4284 2.7112612E-10
392.3985 2.7238944E-10
391.3739 2.7356767E-10
390.3547 2.7477517E-10
